product_name,applicant,approval_date,te_code,appl_no
BUDESONIDE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2023-04-12,AB,215328
UCERIS,SALIX PHARMACEUTICALS INC,2014-10-07,AB,205613
AMZEEQ,JOURNEY MEDICAL CORP,2019-10-18,,212379
AZELAIC ACID,AUROBINDO PHARMA USA INC,2020-10-07,,210928
BETAMETHASONE VALERATE,ALEMBIC PHARMACEUTICALS LTD,2024-08-22,AB,215832
BETAMETHASONE VALERATE,INGENUS PHARMACEUTICALS LLC,2017-05-24,,207144
BETAMETHASONE VALERATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2012-11-26,AB,078337
BETAMETHASONE VALERATE,TARO PHARMACEUTICAL INDUSTRIES LTD,2017-05-24,AB,208204
BETAMETHASONE VALERATE,XIROMED PHARMA ESPANA SL,2023-04-18,AB,210639
CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE,GLENMARK PHARMACEUTICALS LTD,2023-03-21,,214688
CLINDAMYCIN PHOSPHATE,GLENMARK PHARMACEUTICALS LTD,2021-09-20,AT,210778
CLINDAMYCIN PHOSPHATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2010-03-31,AT,090785
CLINDAMYCIN PHOSPHATE,TARO PHARMACEUTICAL INDUSTRIES LTD,2020-03-11,AT,210004
CLOBETASOL PROPIONATE,ALEMBIC PHARMACEUTICALS LTD,2022-04-21,AB1,215838
CLOBETASOL PROPIONATE,GLENMARK PHARMACEUTICALS LTD,2019-02-15,AB1,210809
CLOBETASOL PROPIONATE,GLENMARK PHARMACEUTICALS LTD,2019-09-09,AB2,211450
CLOBETASOL PROPIONATE,NOVAST LABORATORIES LTD,2017-07-31,,206805
CLOBETASOL PROPIONATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2008-03-10,AB1,077763
CLOBETASOL PROPIONATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2012-08-14,AB2,201402
CLOBETASOL PROPIONATE,TARO PHARMACEUTICAL INDUSTRIES LTD,2024-03-14,,208563
CLOBETASOL PROPIONATE,TARO PHARMACEUTICAL INDUSTRIES LTD,2018-10-04,AB1,208779
CLOBETASOL PROPIONATE,XIROMED PHARMA ESPANA SL,2025-11-20,AB1,210638
ECOZA,RESILIA PHARMACEUTICALS INC,2013-10-24,,205175
ENSTILAR,LEO PHARMA AS,2015-10-16,,207589
EVOCLIN,NORVIUM BIOSCIENCE LLC,2004-10-22,,050801
EXTINA,RISING PHARMA HOLDINGS INC,2007-06-12,,021738
FABIOR,MAYNE PHARMA LLC,2012-05-11,,202428
FINACEA,LEO PHARMA AS,2015-07-29,,207071
HALOBETASOL PROPIONATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2023-08-11,,215266
KETOCONAZOLE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2011-08-25,AB,091550
KETOCONAZOLE,XIROMED PHARMA ESPANA SL,2021-05-21,AB,213601
LEXETTE,MAYNE PHARMA LLC,2018-05-24,,210566
LUXIQ,PHARMOBEDIENT CONSULTING LLC,1999-02-28,,020934
MEN'S ROGAINE,KENVUE BRANDS LLC,2006-01-20,,021812
MINOXIDIL,PERRIGO PHARMA INTERNATIONAL DAC,2011-04-28,,091344
MINOXIDIL (FOR MEN),AUROBINDO PHARMA LTD,2024-04-22,,218616
MINOXIDIL (FOR MEN),P AND L DEVELOPMENT LLC,2017-02-17,,208092
MINOXIDIL (FOR MEN),TARO PHARMACEUTICAL INDUSTRIES LTD,2018-12-31,,209074
MINOXIDIL (FOR WOMEN),AUROBINDO PHARMA LTD,2024-04-22,,218616
MINOXIDIL (FOR WOMEN),P AND L DEVELOPMENT LLC,2017-07-27,,208092
MINOXIDIL (FOR WOMEN),TARO PHARMACEUTICAL INDUSTRIES LTD,2019-04-22,,209074
OLUX,PHARMOBEDIENT CONSULTING LLC,2000-05-26,,021142
OLUX E,PHARMOBEDIENT CONSULTING LLC,2007-01-12,,022013
SORILUX,MAYNE PHARMA LLC,2010-10-06,,022563
VERDESO,ALMIRALL LLC,2006-09-19,,021978
WOMEN'S ROGAINE,KENVUE BRANDS LLC,2014-02-28,,021812
ZILXI,JOURNEY MEDICAL CORP,2020-05-28,,213690
ADVAIR HFA,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,2006-06-08,,021254
ADVAIR HFA,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,2006-06-08,,021254
ADVAIR HFA,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,2006-06-08,,021254
AEROBID,ROCHE PALO ALTO LLC,1984-08-17,,018340
AEROSPAN HFA,PHARMOBEDIENT CONSULTING LLC,2006-01-27,,021247
AIRSUPRA,ASTRAZENECA PHARMACEUTICALS LP,2023-01-10,,214070
ALBUTEROL,ARMSTRONG PHARMACEUTICALS INC,1996-08-14,,072273
ALBUTEROL,GENPHARM INC,1997-08-19,,073045
ALBUTEROL,IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,1995-12-28,,073272
ALBUTEROL,PLIVA INC,1996-08-01,,074072
ALBUTEROL SULFATE,AMNEAL IRELAND LTD,2025-12-01,AB2,211600
ALBUTEROL SULFATE,ARMSTRONG PHARMACEUTICALS INC,2024-05-21,AB2,212447
ALBUTEROL SULFATE,CIPLA LTD,2020-04-08,AB1,209959
ALBUTEROL SULFATE,LUPIN INC,2020-08-24,AB2,209954
ALBUTEROL SULFATE,PADAGIS US LLC,2020-02-24,AB2,203760
ALBUTEROL SULFATE,SANDOZ INC,2021-06-01,AB1,207085
ALUPENT,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,,,016402
ALVESCO,COVIS PHARMA GMBH,2008-01-10,,021658
ALVESCO,COVIS PHARMA GMBH,2008-01-10,,021658
ASMANEX HFA,ORGANON LLC,2019-08-12,,205641
ASMANEX HFA,ORGANON LLC,2014-04-25,,205641
ASMANEX HFA,ORGANON LLC,2014-04-25,,205641
ATROPINE SULFATE,UNITED STATES ARMY OFFICE SURGEON GENERAL,1990-09-19,,020056
ATROVENT,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,1986-12-29,,019085
ATROVENT HFA,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,2004-11-27,AB,021527
AZMACORT,ABBVIE INC,1982-04-23,,018117
BECLOMETHASONE DIPROPIONATE,AMNEAL IRELAND LTD,2025-12-16,,213811
BECLOMETHASONE DIPROPIONATE,AMNEAL IRELAND LTD,2025-12-16,,213811
BECLOVENT,GLAXOSMITHKLINE,,,018153
BEVESPI AEROSPHERE,ASTRAZENECA PHARMACEUTICALS LP,2016-04-25,,208294
BRETHAIRE,NOVARTIS PHARMACEUTICALS CORP,1984-08-17,,018762
BREYNA,MYLAN PHARMACEUTICALS INC,2022-03-15,AB,211699
BREYNA,MYLAN PHARMACEUTICALS INC,2022-03-15,AB,211699
BREZTRI AEROSPHERE,ASTRAZENECA AB,2020-07-23,,212122
BRICANYL,SANOFI AVENTIS US LLC,1985-03-19,,018000
BRONCHO SALINE,BLAIREX LABORATORIES INC,1992-09-03,,019912
BRONITIN MIST,WYETH CONSUMER HEALTHCARE,,,016126
BRONKAID MIST,STERLING HEALTH DIV STERLING WINTHROP INC,,,016803
BRONKOMETER,SANOFI AVENTIS US LLC,,,012339
COMBIVENT,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,1996-10-24,,020291
DEXACORT,UCB INC,,,013413
DULERA,ORGANON LLC,2019-08-12,,022518
DULERA,ORGANON LLC,2010-06-22,,022518
DULERA,ORGANON LLC,2010-06-22,,022518
DUO-MEDIHALER,3M PHARMACEUTICALS INC,,,013296
EPINEPHRINE,ARMSTRONG PHARMACEUTICALS INC,1984-05-23,,087907
FLOVENT,GLAXOSMITHKLINE,1996-03-27,,020548
FLOVENT,GLAXOSMITHKLINE,1996-03-27,,020548
FLOVENT,GLAXOSMITHKLINE,1996-03-27,,020548
FLOVENT HFA,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,2004-05-14,AB,021433
FLOVENT HFA,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,2004-05-14,,021433
FLOVENT HFA,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,2004-05-14,,021433
FLUTICASONE PROPIONATE,GLENMARK SPECIALTY SA,2026-03-03,AB,219602
INTAL,KING PHARMACEUTICALS LLC,1985-12-05,,018887
IPRATROPIUM BROMIDE,ARMSTRONG PHARMACEUTICALS INC,2026-02-23,AB,217953
ISOETHARINE MESYLATE,ALPHARMA US PHARMACEUTICALS DIVISION,1984-08-21,,087858
ISOPROTERENOL HYDROCHLORIDE,3M PHARMACEUTICALS INC,,,010375
ISOPROTERENOL HYDROCHLORIDE,ALPHARMA US PHARMACEUTICALS DIVISION,,,085904
ISUPREL,SANOFI AVENTIS US LLC,,,011178
MAXAIR,BAUSCH HEALTH US LLC,1986-12-30,,019009
MAXAIR,BAUSCH HEALTH US LLC,1992-11-30,,020014
MEDIHALER ERGOTAMINE,3M PHARMACEUTICALS INC,,,012102
MEDIHALER-EPI,3M PHARMACEUTICALS INC,,,010374
MEDIHALER-ISO,3M PHARMACEUTICALS INC,,,010375
PRIMATENE MIST,ARMSTRONG PHARMACEUTICALS INC,2018-11-07,,205920
PRIMATENE MIST,WYETH CONSUMER HEALTHCARE,,,016126
PROAIR HFA,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC,2004-10-29,AB2,021457
PROVENTIL,SCHERING CORP SUB SCHERING PLOUGH CORP,,,017559
PROVENTIL-HFA,KINDEVA DRUG DELIVERY LP,1996-08-15,AB1,020503
QVAR 40,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2000-09-15,,020911
QVAR 80,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2000-09-15,,020911
QVAR REDIHALER,NORTON WATERFORD LTD,2017-08-03,,207921
QVAR REDIHALER,NORTON WATERFORD LTD,2017-08-03,,207921
SEREVENT,GLAXOSMITHKLINE,1994-02-04,,020236
SYMBICORT,ASTRAZENECA LP,2006-07-21,AB,021929
SYMBICORT,ASTRAZENECA LP,2006-07-21,AB,021929
SYMBICORT AEROSPHERE,ASTRAZENECA PHARMACEUTICALS LP,2023-04-28,,216579
TILADE,KING PHARMACEUTICALS LLC,1992-12-30,,019660
TORNALATE,SANOFI AVENTIS US LLC,1984-12-28,,018770
VANCERIL,SCHERING CORP SUB SCHERING PLOUGH CORP,,,017573
VANCERIL DOUBLE STRENGTH,SCHERING CORP,1996-12-24,,020486
VENTOLIN,GLAXOSMITHKLINE,,,018473
VENTOLIN HFA,GLAXOSMITHKLINE INTELLECTUAL PROPERTY LTD ENGLAND,2001-04-19,BX,020983
XOPENEX HFA,LUPIN INC,2005-03-11,,021730
BECONASE,GLAXOSMITHKLINE,,,018584
NASACORT,CHATTEM INC DBA SANOFI CONSUMER HEALTHCARE,1991-07-11,,019798
QNASL,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2014-12-17,,202813
QNASL,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2012-03-23,,202813
RHINOCORT,ASTRAZENECA LP,1994-02-14,,020233
VANCENASE,SCHERING CORP SUB SCHERING PLOUGH CORP,,,018521
ZETONNA,COVIS PHARMA GMBH,2012-01-20,,202129
CORTIFOAM,VIATRIS SPECIALTY LLC,1982-02-10,,017351
NITROMIST,EVUS HEALTH SOLUTIONS LLC,2006-11-02,,021780
EPIFOAM,MYLAN SPECIALTY LP,,BX,086457
EXIDINE,XTTRIUM LABORATORIES INC,1984-12-24,,019127
HYDROCORTISONE ACETATE 1% AND PRAMOXINE HYDROCHLORIDE 1%,GENUS LIFESCIENCES INC,1988-05-17,,089440
PROCTOFOAM HC,MYLAN SPECIALTY LP,,BX,086195
TECHNEGAS KIT,CYCLOMEDICA AUSTRALIA PTY LTD,2023-09-29,,022335
SCLEROSOL,SCIARRA LABORATORIES INC,1997-12-24,,020587
DEXACORT,UCB INC,,,014242
XYLOCAINE,ASTRAZENECA LP,,,014394
NITROLINGUAL,POHL BOSKAMP,1985-10-31,,018705
AEROSEB-DEX,ALLERGAN HERBERT DIV ALLERGAN INC,,,083296
AEROSEB-HC,ALLERGAN HERBERT DIV ALLERGAN INC,,,085805
DECASPRAY,MERCK AND CO INC,,,012731
POLYSPORIN,GLAXOSMITHKLINE,1985-03-01,,050167
RID MOUSSE,BAYER HEALTHCARE LLC,2000-03-07,,021043
SEPTISOL,VESTAL LABORATORIES DIV CHEMED CORP,,,017424
TURGEX,XTTRIUM LABORATORIES INC,,,018375
DELFEN,PERSONAL PRODUCTS CO,,,014349
CHOLYBAR,PARKE DAVIS DIV WARNER LAMBERT CO,1988-05-26,,071621
CHOLYBAR,PARKE DAVIS DIV WARNER LAMBERT CO,1988-05-26,,071739
WELCHOL,COSETTE PHARMACEUTICALS INC,2019-04-03,,210895
DOXYCYCLINE HYCLATE,PLIVA INC,1992-06-30,,063187
PREVACID NAPRAPAC 250 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,2003-11-14,,021507
PREVACID NAPRAPAC 375 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,2003-11-14,,021507
PREVACID NAPRAPAC 500 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,2003-11-14,,021507
CYMBALTA,ELI LILLY AND CO,2004-08-03,,021427
CYMBALTA,ELI LILLY AND CO,2004-08-03,,021427
CYMBALTA,ELI LILLY AND CO,2004-08-03,,021427
DEPAKOTE,ABBVIE INC,1989-09-12,AB,019680
DIDANOSINE,AUROBINDO PHARMA LTD,2008-09-24,,090094
DIDANOSINE,AUROBINDO PHARMA LTD,2008-09-24,,090094
DIDANOSINE,AUROBINDO PHARMA LTD,2008-09-24,,090094
DIDANOSINE,AUROBINDO PHARMA LTD,2008-09-24,,090094
DIDANOSINE,BARR LABORATORIES INC,2004-12-03,,077167
DIDANOSINE,BARR LABORATORIES INC,2004-12-03,,077167
DIDANOSINE,BARR LABORATORIES INC,2004-12-03,,077167
DIDANOSINE,PHARMOBEDIENT CONSULTING LLC,2010-04-08,,090788
DIDANOSINE,PHARMOBEDIENT CONSULTING LLC,2010-04-08,,090788
DIDANOSINE,PHARMOBEDIENT CONSULTING LLC,2010-04-08,,090788
DIDANOSINE,PHARMOBEDIENT CONSULTING LLC,2010-04-08,,090788
DIVALPROEX SODIUM,AJANTA PHARMA LTD,2020-03-02,AB,213181
DIVALPROEX SODIUM,ALEMBIC PHARMACEUTICALS LTD,2024-12-19,AB,218793
DIVALPROEX SODIUM,DR REDDYS LABORATORIES LTD,2009-01-23,AB,078979
DIVALPROEX SODIUM,MANKIND PHARMA LTD,2025-08-12,AB,217358
DIVALPROEX SODIUM,RISING PHARMA HOLDING INC,2011-03-28,,090407
DIVALPROEX SODIUM,TEVA PHARMACEUTICALS USA INC,2020-11-17,,211505
DIVALPROEX SODIUM,ZYDUS PHARMACEUTICALS USA INC,2009-01-27,AB,078919
DRIZALMA SPRINKLE,SUN PHARMACEUTICAL INDUSTRIES LTD,2019-07-19,,212516
DRIZALMA SPRINKLE,SUN PHARMACEUTICAL INDUSTRIES LTD,2019-07-19,,212516
DRIZALMA SPRINKLE,SUN PHARMACEUTICAL INDUSTRIES LTD,2019-07-19,,212516
DRIZALMA SPRINKLE,SUN PHARMACEUTICAL INDUSTRIES LTD,2019-07-19,,212516
DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH LLC,2013-12-17,AB,090776
DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH LLC,2013-12-17,AB,090776
DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH LLC,2013-12-17,AB,090776
DULOXETINE HYDROCHLORIDE,ADAPTIS PHARMA PRIVATE LTD,2013-12-11,,090723
DULOXETINE HYDROCHLORIDE,ADAPTIS PHARMA PRIVATE LTD,2013-12-11,,090723
DULOXETINE HYDROCHLORIDE,ADAPTIS PHARMA PRIVATE LTD,2013-12-11,,090723
DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,2017-01-06,AB,208706
DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,2017-01-06,AB,208706
DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,2019-03-11,AB,208706
DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,2017-01-06,AB,208706
DULOXETINE HYDROCHLORIDE,ALEMBIC PHARMACEUTICALS LTD,2014-06-09,AB,202949
DULOXETINE HYDROCHLORIDE,ALEMBIC PHARMACEUTICALS LTD,2014-06-09,AB,202949
DULOXETINE HYDROCHLORIDE,ALEMBIC PHARMACEUTICALS LTD,2014-06-09,AB,202949
DULOXETINE HYDROCHLORIDE,ALKEM LABORATORIES LTD,2015-08-26,AB,203197
DULOXETINE HYDROCHLORIDE,ALKEM LABORATORIES LTD,2015-08-26,AB,203197
DULOXETINE HYDROCHLORIDE,ALKEM LABORATORIES LTD,2015-08-26,AB,203197
DULOXETINE HYDROCHLORIDE,ALMATICA PHARMA LLC,2026-02-27,,219131
DULOXETINE HYDROCHLORIDE,ALMATICA PHARMA LLC,2026-02-27,,219131
DULOXETINE HYDROCHLORIDE,ALMATICA PHARMA LLC,2026-02-27,,219131
DULOXETINE HYDROCHLORIDE,APOTEX INC,2014-06-11,,202045
DULOXETINE HYDROCHLORIDE,APOTEX INC,2014-06-11,,202045
DULOXETINE HYDROCHLORIDE,APOTEX INC,2014-06-11,,202045
DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,2013-12-11,AB,090778
DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,2013-12-11,AB,090778
DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,2013-12-11,AB,090778
DULOXETINE HYDROCHLORIDE,BRECKENRIDGE PHARMACEUTICAL INC,2014-06-11,AB,203088
DULOXETINE HYDROCHLORIDE,BRECKENRIDGE PHARMACEUTICAL INC,2014-06-11,AB,203088
DULOXETINE HYDROCHLORIDE,BRECKENRIDGE PHARMACEUTICAL INC,2018-05-18,AB,203088
DULOXETINE HYDROCHLORIDE,BRECKENRIDGE PHARMACEUTICAL INC,2014-06-11,AB,203088
DULOXETINE HYDROCHLORIDE,CSPC OUYI PHARMACEUTICAL CO LTD,2018-10-16,AB,211310
DULOXETINE HYDROCHLORIDE,CSPC OUYI PHARMACEUTICAL CO LTD,2018-10-16,AB,211310
DULOXETINE HYDROCHLORIDE,CSPC OUYI PHARMACEUTICAL CO LTD,2018-10-16,AB,211310
DULOXETINE HYDROCHLORIDE,HETERO LABS LTD UNIT III,2016-08-03,AB,204343
DULOXETINE HYDROCHLORIDE,HETERO LABS LTD UNIT III,2016-08-03,AB,204343
DULOXETINE HYDROCHLORIDE,HETERO LABS LTD UNIT III,2016-08-03,AB,204343
DULOXETINE HYDROCHLORIDE,INVENTIA HEALTHCARE LTD,2015-10-28,AB,202336
DULOXETINE HYDROCHLORIDE,INVENTIA HEALTHCARE LTD,2015-10-28,AB,202336
DULOXETINE HYDROCHLORIDE,INVENTIA HEALTHCARE LTD,2015-10-28,AB,202336
DULOXETINE HYDROCHLORIDE,LUPIN LTD,2013-12-11,AB,090694
DULOXETINE HYDROCHLORIDE,LUPIN LTD,2013-12-11,AB,090694
DULOXETINE HYDROCHLORIDE,LUPIN LTD,2013-12-11,AB,090694
DULOXETINE HYDROCHLORIDE,LUPIN LTD,2013-12-11,AB,090694
DULOXETINE HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,2017-03-23,AB,204815
DULOXETINE HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,2017-03-23,AB,204815
DULOXETINE HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,2017-03-23,AB,204815
DULOXETINE HYDROCHLORIDE,PH HEALTH LTD,2015-10-28,,090780
DULOXETINE HYDROCHLORIDE,PH HEALTH LTD,2015-10-28,,090780
DULOXETINE HYDROCHLORIDE,PH HEALTH LTD,2015-10-28,,090780
DULOXETINE HYDROCHLORIDE,PRINSTON PHARMACEUTICAL INC,2017-05-18,AB,206653
DULOXETINE HYDROCHLORIDE,PRINSTON PHARMACEUTICAL INC,2017-05-18,AB,206653
DULOXETINE HYDROCHLORIDE,PRINSTON PHARMACEUTICAL INC,2017-05-18,AB,206653
DULOXETINE HYDROCHLORIDE,QINGDAO BAHEAL PHARMACEUTICAL CO LTD,2019-04-17,AB,210599
DULOXETINE HYDROCHLORIDE,QINGDAO BAHEAL PHARMACEUTICAL CO LTD,2019-04-17,AB,210599
DULOXETINE HYDROCHLORIDE,QINGDAO BAHEAL PHARMACEUTICAL CO LTD,2019-04-17,AB,210599
DULOXETINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,2013-12-11,,090745
DULOXETINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,2013-12-11,,090745
DULOXETINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,2013-12-11,,090745
DULOXETINE HYDROCHLORIDE,SUNSHINE LAKE PHARMA CO LTD,2021-02-11,AB,212328
DULOXETINE HYDROCHLORIDE,SUNSHINE LAKE PHARMA CO LTD,2021-02-11,AB,212328
DULOXETINE HYDROCHLORIDE,SUNSHINE LAKE PHARMA CO LTD,2021-02-11,AB,212328
DULOXETINE HYDROCHLORIDE,TEVA PHARMACEUTICALS USA,2013-12-11,,090783
DULOXETINE HYDROCHLORIDE,TEVA PHARMACEUTICALS USA,2013-12-11,,090783
DULOXETINE HYDROCHLORIDE,TEVA PHARMACEUTICALS USA,2013-12-11,,090783
DULOXETINE HYDROCHLORIDE,TORRENT PHARMACEUTICALS LTD,2013-12-11,,090774
DULOXETINE HYDROCHLORIDE,TORRENT PHARMACEUTICALS LTD,2013-12-11,,090774
DULOXETINE HYDROCHLORIDE,TORRENT PHARMACEUTICALS LTD,2013-12-11,,090774
DULOXETINE HYDROCHLORIDE,YAOPHARMA CO LTD,2019-08-16,,207219
DULOXETINE HYDROCHLORIDE,YAOPHARMA CO LTD,2019-08-16,,207219
DULOXETINE HYDROCHLORIDE,YAOPHARMA CO LTD,2019-08-16,,207219
DULOXETINE HYDROCHLORIDE,ZYDUS HEALTHCARE USA LLC,2014-01-08,AB,090739
DULOXETINE HYDROCHLORIDE,ZYDUS HEALTHCARE USA LLC,2014-01-08,AB,090739
DULOXETINE HYDROCHLORIDE,ZYDUS HEALTHCARE USA LLC,2023-04-18,AB,090739
DULOXETINE HYDROCHLORIDE,ZYDUS HEALTHCARE USA LLC,2014-01-08,AB,090739
DULOXETINE HYDROCHLORIDE,ZYDUS PHARMACEUTICALS USA INC,2014-01-08,AB,090728
DULOXETINE HYDROCHLORIDE,ZYDUS PHARMACEUTICALS USA INC,2014-01-08,AB,090728
DULOXETINE HYDROCHLORIDE,ZYDUS PHARMACEUTICALS USA INC,2014-01-08,AB,090728
ERYC,DR REDDYS LABORATORIES SA,,AB,050536
ERYC,PARKE DAVIS DIV WARNER LAMBERT CO,1985-07-25,,062546
ERYC,PARKE DAVIS DIV WARNER LAMBERT CO,1985-09-25,,062618
ERYC,WARNER CHILCOTT CO LLC,,,062338
ERYC 125,PARKE DAVIS DIV WARNER LAMBERT CO,1985-10-24,,062648
ERYC SPRINKLES,HOSPIRA INC,1985-07-22,,050593
ERYTHROMYCIN,BARR LABORATORIES INC,1989-05-04,,063098
ERYTHROMYCIN,CARNEGIE PHARMACEUTICALS LLC,1986-12-22,AB,062746
ESOMEPRAZOLE MAGNESIUM,ALKEM LABORATORIES LTD,2017-10-20,AB,208333
ESOMEPRAZOLE MAGNESIUM,ALKEM LABORATORIES LTD,2017-10-20,AB,208333
ESOMEPRAZOLE MAGNESIUM,AMNEAL PHARMACEUTICALS OF NY LLC,2019-04-10,,209647
ESOMEPRAZOLE MAGNESIUM,AMNEAL PHARMACEUTICALS OF NY LLC,2019-04-10,,209647
ESOMEPRAZOLE MAGNESIUM,AUROBINDO PHARMA LTD,2016-04-21,AB,205606
ESOMEPRAZOLE MAGNESIUM,AUROBINDO PHARMA LTD,2016-04-21,AB,205606
ESOMEPRAZOLE MAGNESIUM,CIPLA LTD,2015-01-26,,078003
ESOMEPRAZOLE MAGNESIUM,CIPLA LTD,2015-01-26,,078003
ESOMEPRAZOLE MAGNESIUM,CISEN PHARMACEUTICAL CO LTD,2020-09-22,AB,213158
ESOMEPRAZOLE MAGNESIUM,CISEN PHARMACEUTICAL CO LTD,2020-09-22,AB,213158
ESOMEPRAZOLE MAGNESIUM,CSPC OUYI PHARMACEUTICAL CO LTD,2020-10-02,AB,212949
ESOMEPRAZOLE MAGNESIUM,CSPC OUYI PHARMACEUTICAL CO LTD,2020-10-02,AB,212949
ESOMEPRAZOLE MAGNESIUM,DR REDDYS LABORATORIES LTD,2015-09-25,AB,078279
ESOMEPRAZOLE MAGNESIUM,DR REDDYS LABORATORIES LTD,2015-09-25,AB,078279
ESOMEPRAZOLE MAGNESIUM,ETHYPHARM INC,2021-03-31,AB,090841
ESOMEPRAZOLE MAGNESIUM,ETHYPHARM INC,2021-03-31,AB,090841
ESOMEPRAZOLE MAGNESIUM,GLENMARK SPECIALTY SA,2019-05-10,,209495
ESOMEPRAZOLE MAGNESIUM,GLENMARK SPECIALTY SA,2019-05-10,,209495
ESOMEPRAZOLE MAGNESIUM,GRANULES INDIA LTD,2023-10-18,AB,217427
ESOMEPRAZOLE MAGNESIUM,GRANULES INDIA LTD,2023-10-18,AB,217427
ESOMEPRAZOLE MAGNESIUM,GRAVITI PHARMACEUTICALS PRIVATE LTD,2021-03-19,AB,213486
ESOMEPRAZOLE MAGNESIUM,GRAVITI PHARMACEUTICALS PRIVATE LTD,2021-03-19,AB,213486
ESOMEPRAZOLE MAGNESIUM,GUANGZHOU NOVAKEN PHARM CO LTD,2020-11-18,AB,213859
ESOMEPRAZOLE MAGNESIUM,GUANGZHOU NOVAKEN PHARM CO LTD,2020-11-18,AB,213859
ESOMEPRAZOLE MAGNESIUM,HEC PHARM USA INC,2018-05-18,,207265
ESOMEPRAZOLE MAGNESIUM,HEC PHARM USA INC,2018-05-18,,207265
ESOMEPRAZOLE MAGNESIUM,HETERO LABS LTD UNIT III,2015-09-21,,202784
ESOMEPRAZOLE MAGNESIUM,HETERO LABS LTD UNIT III,2020-06-02,AB,211977
ESOMEPRAZOLE MAGNESIUM,HETERO LABS LTD UNIT III,2015-09-21,,202784
ESOMEPRAZOLE MAGNESIUM,HETERO LABS LTD UNIT III,2020-06-02,AB,211977
ESOMEPRAZOLE MAGNESIUM,INDCHEMIE HEALTH SPECIALTIES PVT LTD,2021-02-26,AB,210559
ESOMEPRAZOLE MAGNESIUM,INDCHEMIE HEALTH SPECIALTIES PVT LTD,2021-02-26,AB,210559
ESOMEPRAZOLE MAGNESIUM,LANNETT CO INC,2017-09-01,AB,205563
ESOMEPRAZOLE MAGNESIUM,LANNETT CO INC,2017-09-01,AB,205563
ESOMEPRAZOLE MAGNESIUM,MACLEODS PHARMACEUTICALS LTD,2024-10-23,,208511
ESOMEPRAZOLE MAGNESIUM,MACLEODS PHARMACEUTICALS LTD,2024-10-23,,208511
ESOMEPRAZOLE MAGNESIUM,MYLAN PHARMACEUTICALS INC,2015-08-02,AB,078936
ESOMEPRAZOLE MAGNESIUM,MYLAN PHARMACEUTICALS INC,2015-08-03,AB,078936
ESOMEPRAZOLE MAGNESIUM,PRINSTON PHARMACEUTICAL INC,2023-03-28,AB,214920
ESOMEPRAZOLE MAGNESIUM,PRINSTON PHARMACEUTICAL INC,2023-03-28,AB,214920
ESOMEPRAZOLE MAGNESIUM,SUN PHARMACEUTICAL INDUSTRIES LTD,2018-04-30,AB,209735
